Burundi;4.1;349;Africa;Eastern Africa
 Comoros;12.2;85;Africa;Eastern Africa
 Djibouti;3.4;29;Africa;Eastern Africa
 Eritrea;17.8;879;Africa;Eastern Africa
 Ethiopia;25.5;20219;Africa;Eastern Africa
 Kenya;20.1;7733;Africa;Eastern Africa
 Madagascar;8.1;1588;Africa;Eastern Africa
 Malawi;36.0;5039;Africa;Eastern Africa
 Mauritius;2.5;33;Africa;Eastern Africa
 Mozambique;3.3;750;Africa;Eastern Africa
 Rwanda;17.1;1708;Africa;Eastern Africa
 Seychelles;8.3;7;Africa;Eastern Africa
 Somalia;1.5;138;Africa;Eastern Africa
 Uganda;36.3;11373;Africa;Eastern Africa
 Tanzania;24.5;10357;Africa;Eastern Africa
 Zambia;38.0;5;Africa;Eastern Africa
 Zimbabwe;14.3;2;Africa;Eastern Africa
 Angola;19.0;3;Africa;Middle Africa
 Cameroon;19.7;4;Africa;Middle Africa
 Central African Republic;29.3;1;Africa;Middle Africa
 Chad;15.8;2;Africa;Middle Africa
 Congo;30.8;1;Africa;Middle Africa
 Democratic Republic of the Congo;21.7;14;Africa;Middle Africa
 Equatorial Guinea;20.7;137;Africa;Middle Africa
 São Tomé and Príncipe;1.9;3;Africa;Middle Africa
 Gabon;13.8;200;Africa;Middle Africa
 Algeria;1.5;516;Africa;Northern Africa
 Egypt;1.2;992;Africa;Northern Africa
 Libya;2.9;176;Africa;Northern Africa
 Morocco;1.4;447;Africa;Northern Africa
 Sudan;24.2;10;Africa;Northern Africa
 Tunisia;1.1;117;Africa;Northern Africa
 Botswana;14.5;287;Africa;Southern Africa
 Lesotho;35.2;764;Africa;Southern Africa
 Namibia;17.2;352;Africa;Southern Africa
 South Africa;31.8;16;Africa;Southern Africa
 Swaziland;12.9;141;Africa;Southern Africa
 Benin;15.1;1;Africa;Western Africa
 Burkina Faso;18.0;3;Africa;Western Africa
 Cape Verde;11.6;56;Africa;Western Africa
 Ivory Coast;56.9;11;Africa;Western Africa
 Gambia;10.8;106;Africa;Western Africa
 Ghana;15.7;4;Africa;Western Africa
 Guinea;22.5;2;Africa;Western Africa
 Guinea-Bissau;20.2;294;Africa;Western Africa
 Liberia;10.1;371;Africa;Western Africa
 Mali;8.0;1;Africa;Western Africa
 Mauritania;14.7;485;Africa;Western Africa
 Niger;3.8;552;Africa;Western Africa
 Nigeria;12.2;18;Africa;Western Africa
 Senegal;8.7;1;Africa;Western Africa
 Sierra Leone;14.9;837;Africa;Western Africa
 Togo;10.9;627;Africa;Western Africa
 Anguilla;6.8;1;Americas;Caribbean
 Antigua and Barbuda;6.8;6;Americas;Caribbean
 Bahamas;36.6;127;Americas;Caribbean
 Barbados;11.3;31;Americas;Caribbean
 British Virgin Islands;8.6;2;Americas;Caribbean
 Cayman Islands;8.4;5;Americas;Caribbean
 Cuba;5.0;563;Americas;Caribbean
 Dominica;22.1;15;Americas;Caribbean
 Dominican Republic;25.0;3;Americas;Caribbean
 Grenada;11.5;12;Americas;Caribbean
 Guadeloupe;7.0;32;Americas;Caribbean
 Haiti;6.9;689;Americas;Caribbean
 Jamaica;40.9;1;Americas;Caribbean
 Martinique;4.2;17;Americas;Caribbean
 Montserrat;19.7;1;Americas;Caribbean
 Puerto Rico;26.2;983;Americas;Caribbean
 Saint Kitts and Nevis;38.2;20;Americas;Caribbean
 Saint Lucia;25.2;44;Americas;Caribbean
 Saint Vincent and the Grenadines;22.9;25;Americas;Caribbean
 Trinidad and Tobago;35.2;472;Americas;Caribbean
 Turks and Caicos Islands;8.7;3;Americas;Caribbean
 U.S. Virgin Islands;39.2;43;Americas;Caribbean
 Belize;41.4;129;Americas;Central America
 Costa Rica;10.0;474;Americas;Central America
 El Salvador;69.2;4;Americas;Central America
 Guatemala;38.5;6;Americas;Central America
 Honduras;91.6;7;Americas;Central America
 Mexico;23.7;27;Americas;Central America
 Nicaragua;12.6;738;Americas;Central America
 Panama;21.6;759;Americas;Central America
 Bermuda;12.3;8;Americas;Northern America
 Canada;1.6;554;Americas;Northern America
 United States;4.7;15;Americas;Northern America
 Argentina;5.5;2237;Americas;South America
 Bolivia;8.9;884;Americas;South America
 Brazil;21.8;43;Americas;South America
 Chile;3.7;639;Americas;South America
 Colombia;31.4;15;Americas;South America
 Ecuador;18.2;3;Americas;South America
 French Guiana;13.3;30;Americas;South America
 Guyana;18.6;140;Americas;South America
 Paraguay;11.5;741;Americas;South America
 Peru;10.3;3;Americas;South America
 Suriname;4.6;24;Americas;South America
 Uruguay;5.9;199;Americas;South America
 Venezuela;45.1;13;Americas;South America
 Kazakhstan;8.8;1;Asia;Central Asia
 Kyrgyzstan;20.1;1;Asia;Central Asia
 Tajikistan;2.1;143;Asia;Central Asia
 Turkmenistan;4.2;203;Asia;Central Asia
 Uzbekistan;3.1;831;Asia;Central Asia
 China;1.0;13;Asia;Eastern Asia
 Taiwan;3.2;743;Asia;Eastern Asia
 North Korea;15.2;4;Asia;Eastern Asia
 Hong Kong;0.2;17;Asia;Eastern Asia
 Japan;0.3;442;Asia;Eastern Asia
 Macau;0.7;4;Asia;Eastern Asia
 Mongolia;8.7;239;Asia;Eastern Asia
 South Korea[note 1][note 2];2.6;1;Asia;Eastern Asia
 Brunei;0.5;2;Asia;South-Eastern Asia
 Cambodia;3.4;448;Asia;South-Eastern Asia
 Indonesia;8.1;19;Asia;South-Eastern Asia
 Laos;4.6;279;Asia;South-Eastern Asia
 Malaysia;2.3;604;Asia;South-Eastern Asia
 Myanmar;10.2;5;Asia;South-Eastern Asia
 Philippines;5.4;5;Asia;South-Eastern Asia
 Singapore;0.3;16;Asia;South-Eastern Asia
 Thailand;4.8;3;Asia;South-Eastern Asia
 Timor-Leste;6.9;75;Asia;South-Eastern Asia
 Vietnam;1.6;1;Asia;South-Eastern Asia
 Afghanistan;2.4;712;Asia;Southern Asia
 Bangladesh;2.7;4;Asia;Southern Asia
 Bhutan;1.0;7;Asia;Southern Asia
 India;3.5;43;Asia;Southern Asia
 Iran;3.0;2;Asia;Southern Asia
 Maldives;1.6;5;Asia;Southern Asia
   Nepal;2.8;818;Asia;Southern Asia
 Pakistan;7.8;14;Asia;Southern Asia
 Sri Lanka;3.6;745;Asia;Southern Asia
 Armenia;1.4;44;Europe;Eastern Europe
 Azerbaijan;2.2;206;Asia;Western Asia
 Bahrain;0.6;6;Asia;Western Asia
 Cyprus;1.7;19;Asia;Western Asia
 Iraq;2.0;608;Asia;Western Asia
 Israel;2.1;159;Asia;Western Asia
 Jordan;1.8;100;Asia;Western Asia
 Kuwait;2.2;59;Asia;Western Asia
 Lebanon;2.2;95;Asia;Western Asia
 Palestine;4.1;145;Asia;Western Asia
 Oman;0.7;18;Asia;Western Asia
 Qatar;0.9;13;Asia;Western Asia
 Saudi Arabia;1.0;265;Asia;Western Asia
 Syria;2.3;463;Asia;Western Asia
 Turkey;3.3;2;Asia;Western Asia
 United Arab Emirates;0.8;39;Asia;Western Asia
 Yemen;4.2;990;Asia;Western Asia
 Belarus;4.9;473;Europe;Eastern Europe
 Bulgaria;2.0;147;Europe;Eastern Europe
 Czech Republic;0.8;83;Europe;Eastern Europe
 Georgia;2.5;107;Europe;Eastern Europe
 Hungary;1.3;133;Europe;Eastern Europe
 Poland;1.1;436;Europe;Eastern Europe
 Moldova;7.5;267;Europe;Eastern Europe
 Romania;2.0;421;Europe;Eastern Europe
 Russia;10.2;15;Europe;Eastern Europe
 Slovakia;1.5;84;Europe;Eastern Europe
 Ukraine;5.2;2;Europe;Eastern Europe
 Denmark;0.9;47;Europe;Northern Europe
 Estonia;5.2;70;Europe;Northern Europe
 Finland;2.2;118;Europe;Northern Europe
 Greenland;19.2;11;Europe;Northern Europe
 Iceland;0.3;1;Europe;Northern Europe
 Ireland;1.2;54;Europe;Northern Europe
 Latvia;3.1;70;Europe;Northern Europe
 Lithuania;6.6;219;Europe;Northern Europe
 Norway;0.6;29;Europe;Northern Europe
 Sweden;1.0;91;Europe;Northern Europe
 United Kingdom;1.2;722;Europe;Northern Europe
 Albania;4.0;127;Europe;Southern Europe
 Andorra;1.3;1;Europe;Southern Europe
 Bosnia and Herzegovina;1.5;56;Europe;Southern Europe
 Croatia;1.4;62;Europe;Southern Europe
 Greece;1.5;176;Europe;Southern Europe
 Italy;0.9;529;Europe;Southern Europe
 Malta;1.0;4;Europe;Southern Europe
 Montenegro;3.5;22;Europe;Southern Europe
 Portugal;1.2;124;Europe;Southern Europe
 Serbia;1.2;123;Europe;Southern Europe
 Slovenia;0.7;15;Europe;Southern Europe
 Spain;0.8;390;Europe;Southern Europe
 Macedonia;1.9;40;Europe;Southern Europe
 Austria;0.6;56;Europe;Western Europe
 Belgium;1.7;180;Europe;Western Europe
 France;1.1;682;Europe;Western Europe
 Germany;0.8;690;Europe;Western Europe
 Liechtenstein;2.8;1;Europe;Western Europe
 Luxembourg;0.6;3;Europe;Western Europe
 Monaco;0.0;0;Europe;Western Europe
 Netherlands;1.1;179;Europe;Western Europe
  Switzerland;0.7;52;Europe;Western Europe
 Australia;1.0;229;Oceania;Australasia
 New Zealand;0.9;39;Oceania;Australasia
 Fiji;2.8;23;Oceania;Melanesia
 Papua New Guinea;13.0;854;Oceania;Melanesia
 Solomon Islands;3.7;19;Oceania;Melanesia
 Vanuatu;0.9;2;Oceania;Melanesia
 Guam;0.6;1;Oceania;Micronesia
 Kiribati;7.3;7;Oceania;Micronesia
 Federated States of Micronesia;0.9;1;Oceania;Micronesia
 Nauru;9.8;1;Oceania;Micronesia
 Palau;0.0;0;Oceania;Micronesia
 French Polynesia;0.4;1;Oceania;Polynesia
 Samoa;1.1;2;Oceania;Polynesia
 Tonga;1.0;1;Oceania;Polynesia
